id|chr|end|gene_name|gene_type|label|source|source_url|start|synonyms
ensg00000101384|chr20|10673999|JAG1|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|10637684|"[""protein jagged-1"", ""HGNC:6188"", ""jagged canonical Notch ligand 1"", ""CD339"", ""AWS"", ""JAGL1"", ""DCHE"", ""CMT2HH"", ""HJ1"", ""AHD"", ""JAG1"", ""AGS"", ""AGS1""]"
ensg00000273745|chr20|10649695|MIR6870|miRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10649636|"[""hsa-mir-6870"", ""microRNA 6870"", ""MIR6870"", ""HGNC:50184"", ""microRNA mir-6870""]"
ensg00000270792|chr20|10994924|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10672695|
ensg00000224961|chr20|10754033|LINC01752|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10696949|"[""HGNC:52540"", ""LINC01752"", ""long intergenic non-protein coding RNA 1752""]"
ensg00000234900|chr20|10765286|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10753278|
ensg00000232900|chr20|10909279|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10875333|"[""LOC101929413""]"
ensg00000217809|chr20|10889088|FAT1P1|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|10888582|"[""FAT tumor suppressor homolog 1 pseudogene 1"", ""HGNC:16582"", ""FAT1P1"", ""dJ697P8.1"", ""FAT atypical cadherin 1 pseudogene 1"", ""FAT tumor suppressor homolog pseudogene 1""]"
ensg00000125899|chr20|11029455|LINC02871|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10996293|"[""long intergenic non-protein coding RNA 2871"", ""HGNC:16180"", ""C20orf187"", ""LINC02871""]"
ensg00000270777|chr20|11001763|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|11001304|
ensg00000230990|chr20|11301525|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|11234170|
ensg00000235544|chr20|11345855|RPS11P1|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|11345383|"[""RPS11P1"", ""ribosomal protein S11 pseudogene 1"", ""dJ1060K6.1"", ""HGNC:16553"", ""RPS11_3_1684""]"
ensg00000282478|chr20|11541647|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|11536406|
ensg00000287754|chr20|11581335|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|11566484|
ensg00000271397|chr20|11609048|LIN28AP3|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|11608436|
ensg00000237256|chr20|11621477|PGAM3P|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|11621051|"[""HGNC:16557"", ""phosphoglycerate mutase 3, pseudogene"", ""dJ1128N12.1"", ""PGAM3P""]"
ensg00000261411|chr20|11687323|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|11685144|
ensg00000228422|chr20|11878429|LINC00687|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|11800463|"[""dJ1012F16.1"", ""long intergenic non-protein coding RNA 687"", ""HGNC:16194"", ""C20orf61"", ""LINC00687""]"
ensg00000222281|chr20|11819091|RN7SKP111|misc_RNA|gene|GENCODE|https://www.gencodegenes.org/human/|11818821|"[""RN7SKP111"", ""RNA, 7SK small nuclear pseudogene 111"", ""HGNC:45835"", ""RN7SK pseudogene 111""]"
ensg00000271298|chr20|11838574|ANAPC13P1|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|11838355|
ensg00000132640|chr20|11926609|BTBD3|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|11890723|"[""BTB/POZ domain-containing protein 3"", ""BTB (POZ) domain containing 3"", ""BTBD3"", ""HGNC:15854"", ""dJ742J24.1"", ""BTB domain containing 3""]"
ensg00000236526|chr20|11918677|BTBD3-AS1|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|11909404|"[""HGNC:40728"", ""BTBD3-AS1"", ""BTBD3 antisense RNA 1""]"
ensg00000235292|chr20|12318221|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|12243308|
ensg00000230437|chr20|12316485|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|12305613|
ensg00000235698|chr20|12381255|PA2G4P2|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|12380056|"[""proliferation-associated 2G4, 38kDa pseudogene"", ""bA102J14.2"", ""PA2G4P2"", ""PA2G4L5"", ""HGNC:16531"", ""proliferation-associated 2G4 pseudogene 2""]"
ensg00000233048|chr20|12952519|LINC01722|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|12865202|"[""HGNC:52510"", ""LINC01722"", ""long intergenic non-protein coding RNA 1722""]"
ensg00000269931|chr20|12937097|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|12934877|
ensg00000286087|chr20|12940902|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|12936262|
ensg00000234265|chr20|13008417|LINC01723|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|12950288|"[""long intergenic non-protein coding RNA 1723"", ""HGNC:52511"", ""LINC01723""]"
ensg00000172296|chr20|13169103|SPTLC3|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|13008972|"[""serine palmitoyltransferase, long chain base subunit 2-like (aminotransferase 2)"", ""dJ718P11.1"", ""HGNC:16253"", ""LCB3"", ""LCB 3"", ""SPTLC2L"", ""dJ718P11"", ""C20orf38"", ""serine palmitoyltransferase 3"", ""serine-palmitoyl-CoA transferase 3"", ""LCB2B"", ""serine palmitoyltransferase long chain base subunit 3"", ""SPT3"", ""long chain base biosynthesis protein 2b"", ""SPTLC3"", ""long chain base biosynthesis protein 3"", ""hLCB2b"", ""SPT 3""]"
ensg00000197976|chrX|1602520|AKAP17A|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|1591604|"[""SFRS17A"", ""DXYS155E"", ""HGNC:18783"", ""A-kinase anchor protein 17A"", ""B-lymphocyte surface antigen"", ""CXYorf3"", ""CCDC133"", ""protein kinase A-anchoring protein 17A"", ""splicing factor, arginine/serine-rich 17A"", ""A-kinase anchoring protein 17A"", ""A kinase (PRKA) anchor protein 17A"", ""AKAP17A"", ""PRKA17A"", ""XE7Y"", ""pseudoautosomal gene XE7"", ""721P"", ""XE7"", ""AKAP-17A""]"
ensg00000197976_par_y|chrY|1602520|AKAP17A|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|1591604|"[""SFRS17A"", ""DXYS155E"", ""HGNC:18783"", ""A-kinase anchor protein 17A"", ""B-lymphocyte surface antigen"", ""CXYorf3"", ""CCDC133"", ""protein kinase A-anchoring protein 17A"", ""splicing factor, arginine/serine-rich 17A"", ""A-kinase anchoring protein 17A"", ""A kinase (PRKA) anchor protein 17A"", ""AKAP17A"", ""PRKA17A"", ""XE7Y"", ""pseudoautosomal gene XE7"", ""721P"", ""XE7"", ""AKAP-17A""]"
